slot,review_issue,review_issue_url,related_issues
dna_store_loc,66,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/66,
efficiency,67,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/67,
elev,68,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/68,
env_broad_scale,69,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/69,
env_local_scale,70,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/70,
env_medium,71,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/71,
error_rate_cutoff,72,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/72,
error_rate_tool,73,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/73,
error_rate_type,74,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/74,
estimatedNumberOfCopies,75,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/75,
estimatedNumberOfCopies_error,76,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/76,
estimatedNumberOfCopies_error_type,77,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/77,
estimatedNumberOfCopies_method,78,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/78,
estimatedNumberOfCopies_unit,79,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/79,
eventDate,80,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/80,
eventDurationValue,81,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/81,
family,82,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/82,
filename,83,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/83,
filename2,84,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/84,
filter_diameter,85,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/85,
filter_material,86,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/86,
filter_name,87,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/87,
filter_passive_active_0_1,88,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/88,
filter_surface_area,89,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/89,
genus,90,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/90,
geo_loc_name,91,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/91,
habitat_natural_artificial_0_1,93,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/93,
host_height,94,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/94,
host_height_unit,95,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/95,
host_length,96,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/96,
host_length_unit,97,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/97,
host_life_stage,98,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/98,
host_species,99,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/99,
host_tot_mass,100,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/100,
host_tot_mass_unit,101,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/101,
humidity,102,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/102,
identificationRemarks,103,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/103,
informationWithheld,104,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/104,
inhibition_check,105,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/105,
inhibition_check_0_1,106,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/106,
input_read_count,107,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/107,
institution,108,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/108,
institutionID,109,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/109,
instrument,110,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/110,
intercept,111,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/111,
kingdom,112,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/112,
lib_conc,113,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/113,
lib_conc_meth,114,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/114,
lib_conc_unit,115,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/115,
lib_id,116,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/116,
lib_layout,117,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/117,
lib_screen,118,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/118,
license,119,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/119,
light_intensity,120,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/120,
lod_method,121,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/121,
loq_method,122,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/122,
materialSampleID,123,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/123,
maximumDepthInMeters,124,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/124,
merge_min_overlap,125,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/125,
merge_tool,126,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/126,
mid_forward,127,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/127,
mid_reverse,128,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/128,
min_len_cutoff,129,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/129,
min_len_tool,130,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/130,
min_reads_cutoff,131,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/131,
min_reads_cutoff_unit,132,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/132,
min_reads_tool,133,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/133,
minimumDepthInMeters,134,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/134,
mod_date,135,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/135,
neg_cont_0_1,136,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/136,
neg_cont_type,137,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/137,1
nitrate,138,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/138,
nitrate_unit,139,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/139,
nitrite,140,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/140,
nitrite_unit,141,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/141,
nitro,142,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/142,
nitro_unit,143,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/143,
nucl_acid_amp,144,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/144,
nucl_acid_ext,145,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/145,
nucl_acid_ext_kit,146,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/146,
nucl_acid_ext_lysis,147,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/147,
nucl_acid_ext_method_additional,148,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/148,
nucl_acid_ext_modify,149,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/149,
nucl_acid_ext_sep,150,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/150,
num_detect,151,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/151,
order,152,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/152,
org_carb,153,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/153,
org_carb_unit,154,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/154,
org_matter,155,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/155,
org_matter_unit,156,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/156,
org_nitro,157,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/157,
org_nitro_unit,158,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/158,
otu_clust_cutoff,159,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/159,
otu_clust_tool,160,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/160,
otu_db,161,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/161,
otu_db_custom,162,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/162,
otu_final_description,163,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/163,
otu_num_tax_assigned,164,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/164,
otu_raw_description,165,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/165,
otu_seq_comp_appr,166,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/166,
output_otu_num,167,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/167,
output_read_count,168,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/168,
parent_project_id,169,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/169,
part_org_carb,170,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/170,
part_org_carb_unit,171,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/171,
part_org_nitro,172,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/172,
part_org_nitro_unit,173,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/173,
pcr2_amplificationReactionVolume,174,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/174,
pcr2_analysis_software,175,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/175,
pcr2_annealingTemp,176,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/176,
pcr2_commercial_mm,177,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/177,
pcr2_cond,178,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/178,
pcr2_custom_mm,179,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/179,
pcr2_cycles,180,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/180,
pcr2_dna_vol,181,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/181,
pcr2_method_additional,182,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/182,
pcr2_plate_id,183,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/183,
pcr2_thermocycler,184,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/184,
pcr_0_1,185,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/185,
pcr_analysis_software,186,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/186,
pcr_assay_lod,187,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/187,
pcr_assay_lod_LL,188,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/188,
pcr_assay_lod_techreps,190,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/190,
pcr_assay_lod_UL,189,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/189,
pcr_assay_lod_unit,191,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/191,
pcr_assay_loq,192,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/192,
pcr_assay_loq_LL,193,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/193,
pcr_assay_loq_techreps,195,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/195,
pcr_assay_loq_UL,194,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/194,
pcr_assay_loq_unit,196,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/196,
pcr_cond,197,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/197,
pcr_cycles,198,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/198,
pcr_dna_vol,199,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/199,
pcr_method_additional,200,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/200,
pcr_plate_id,201,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/201,
pcr_primer_conc_forward,202,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/202,
pcr_primer_conc_reverse,203,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/203,
pcr_primer_forward,204,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/204,
pcr_primer_name_forward,205,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/205,
pcr_primer_name_reverse,206,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/206,
pcr_primer_reference_forward,207,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/207,
pcr_primer_reference_reverse,208,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/208,
pcr_primer_reverse,209,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/209,
pcr_primer_vol_forward,210,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/210,
pcr_primer_vol_reverse,211,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/211,
pcr_rep,212,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/212,
percent_match,213,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/213,
percent_query_cover,214,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/214,
ph,215,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/215,
ph_meth,216,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/216,
phix_perc,217,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/217,
phylum,218,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/218,
platform,219,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/219,
pool_dna_num,220,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/220,
pos_cont_0_1,221,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/221,
pos_cont_type,222,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/222,
precip_chem_prep,223,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/223,
precip_force_prep,224,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/224,
precip_temp_prep,225,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/225,
precip_time_prep,226,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/226,
prefilter_material,227,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/227,
prep_method_additional,228,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/228,
prepped_samp_store_dur,229,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/229,
prepped_samp_store_sol,230,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/230,
prepped_samp_store_temp,231,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/231,
probe_conc,234,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/234,
probe_ref,235,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/235,
probe_seq,236,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/236,
probeQuencher,232,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/232,
probeReporter,233,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/233,
project_contact,237,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/237,
project_id,238,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/238,
project_name,239,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/239,
pump_flow_rate,240,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/240,
pump_flow_rate_unit,241,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/241,
quantificationCycle,242,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/242,
r2,243,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/243,
ratioOfAbsorbance260_280,244,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/244,
recordedBy,245,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/245,
recordedByID,246,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/246,
rel_cont_id,247,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/247,
rfu,248,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/248,
rightsHolder,249,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/249,
salinity,250,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/250,
samp_category,251,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/251,2
samp_collect_device,252,https://github.com/FAIR-eDNA/FAIRe-GSC-TDWG-term-review/issues/252,
